mean_supply,var_supply,r_s ,r_k,zeta_storage,eta,D_bar,tol_pi,Note
0.5,0.11,0.3,1.4,0.2,0.3,344,4,
0.5,0.11,0.305,1.4,0.2,0.3,344,4,
0.5,0.11,0.31,1.4,0.2,0.3,344,4,
0.5,0.11,0.315,1.4,0.2,0.3,344,4,
0.5,0.11,0.32,1.4,0.2,0.3,344,4,
0.5,0.11,0.325,1.4,0.2,0.3,344,4,
0.5,0.11,0.33,1.4,0.2,0.3,344,4,
0.5,0.11,0.335,1.4,0.2,0.3,344,4,
0.5,0.11,0.34,1.4,0.2,0.3,344,4,
0.5,0.11,0.345,1.4,0.2,0.3,344,4,
0.5,0.11,0.35,1.4,0.2,0.3,344,4,
0.5,0.11,0.355,1.4,0.2,0.3,344,4,
0.5,0.11,0.36,1.4,0.2,0.3,344,4,
0.5,0.11,0.365,1.4,0.2,0.3,344,4,
0.5,0.11,0.37,1.4,0.2,0.3,344,4,
0.5,0.11,0.375,1.4,0.2,0.3,344,4,
0.5,0.11,0.38,1.4,0.2,0.3,344,4,
0.5,0.11,0.385,1.4,0.2,0.3,344,4,
0.5,0.11,0.39,1.4,0.2,0.3,344,4,baseline medium elas
0.5,0.11,0.395,1.4,0.2,0.3,344,4,double supply var medium elas
0.5,0.11,0.4,1.4,0.2,0.3,344,4,triple supply var medium elas
0.5,0.11,0.405,1.4,0.2,0.3,344,4,Half supply var medium elas
0.5,0.11,0.41,1.4,0.2,0.3,344,4,
0.5,0.11,0.415,1.4,0.2,0.3,344,4,
0.5,0.11,0.42,1.4,0.2,0.3,344,4,
0.5,0.11,0.425,1.4,0.2,0.3,344,4,
0.5,0.11,0.43,1.4,0.2,0.3,344,4,
0.5,0.11,0.435,1.4,0.2,0.3,344,4,
0.5,0.11,0.44,1.4,0.2,0.3,344,4,
0.5,0.11,0.445,1.4,0.2,0.3,344,4,
0.5,0.11,0.45,1.4,0.2,0.3,344,4,
0.5,0.11,0.455,1.4,0.2,0.3,344,4,
0.5,0.11,0.46,1.4,0.2,0.3,344,4,
0.5,0.11,0.465,1.4,0.2,0.3,344,4,
0.5,0.11,0.47,1.4,0.2,0.3,344,4,
0.5,0.11,0.475,1.4,0.2,0.3,344,4,
0.5,0.11,0.48,1.4,0.2,0.3,344,4,
0.5,0.11,0.485,1.4,0.2,0.3,344,4,
0.5,0.11,0.49,1.4,0.2,0.3,344,4,
0.5,0.11,0.495,1.4,0.2,0.3,344,4,
0.5,0.11,0.5,1.4,0.2,0.3,344,4,
0.5,0.11,0.505,1.4,0.2,0.3,344,4,
0.5,0.11,0.51,1.4,0.2,0.3,344,4,
0.5,0.11,0.515,1.4,0.2,0.3,344,4,
0.5,0.11,0.52,1.4,0.2,0.3,344,4,
0.5,0.11,0.525,1.4,0.2,0.3,344,4,
0.5,0.11,0.53,1.4,0.2,0.3,344,4,
0.5,0.11,0.535,1.4,0.2,0.3,344,4,
0.5,0.11,0.54,1.4,0.2,0.3,344,4,
