mean_supply,var_supply,r_s ,r_k,zeta_storage,eta,D_bar,tol_pi,Note
0.5,0.015,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.022,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.029,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.036,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.043,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.05,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.057,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.064,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.071,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.078,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.085,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.092,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.099,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.106,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.113,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.12,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.127,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.134,0.475,1.4,0.2,0.1,43.42,4,
0.5,0.141,0.475,1.4,0.2,0.1,43.42,4,baseline medium elas
0.5,0.148,0.475,1.4,0.2,0.1,43.42,4,double supply var medium elas
0.5,0.155,0.475,1.4,0.2,0.1,43.42,4,triple supply var medium elas
0.5,0.162,0.475,1.4,0.2,0.1,43.42,4,Half supply var medium elas
0.5,0.169,0.475,1.4,0.2,0.1,43.42,4,
