mean_supply,var_supply,r_s ,r_k,zeta_storage,eta,D_bar,tol_pi
0.5,0.015,0.475,1.4,0.2,0.05,25.86,4
0.5,0.0185,0.475,1.4,0.2,0.05,25.86,4
0.5,0.022,0.475,1.4,0.2,0.05,25.86,4
0.5,0.0255,0.475,1.4,0.2,0.05,25.86,4
0.5,0.029,0.475,1.4,0.2,0.05,25.86,4
0.5,0.0325,0.475,1.4,0.2,0.05,25.86,4
0.5,0.036,0.475,1.4,0.2,0.05,25.86,4
0.5,0.0395,0.475,1.4,0.2,0.05,25.86,4
0.5,0.043,0.475,1.4,0.2,0.05,25.86,4
0.5,0.0465,0.475,1.4,0.2,0.05,25.86,4
0.5,0.05,0.475,1.4,0.2,0.05,25.86,4
0.5,0.0535,0.475,1.4,0.2,0.05,25.86,4
0.5,0.057,0.475,1.4,0.2,0.05,25.86,4
0.5,0.0605,0.475,1.4,0.2,0.05,25.86,4
0.5,0.064,0.475,1.4,0.2,0.05,25.86,4
0.5,0.0675,0.475,1.4,0.2,0.05,25.86,4
0.5,0.071,0.475,1.4,0.2,0.05,25.86,4
0.5,0.0745,0.475,1.4,0.2,0.05,25.86,4
0.5,0.078,0.475,1.4,0.2,0.05,25.86,4
0.5,0.0815,0.475,1.4,0.2,0.05,25.86,4
0.5,0.085,0.475,1.4,0.2,0.05,25.86,4
0.5,0.0885,0.475,1.4,0.2,0.05,25.86,4
0.5,0.092,0.475,1.4,0.2,0.05,25.86,4
0.5,0.0955,0.475,1.4,0.2,0.05,25.86,4
0.5,0.099,0.475,1.4,0.2,0.05,25.86,4
0.5,0.1025,0.475,1.4,0.2,0.05,25.86,4
0.5,0.106,0.475,1.4,0.2,0.05,25.86,4
0.5,0.1095,0.475,1.4,0.2,0.05,25.86,4
0.5,0.113,0.475,1.4,0.2,0.05,25.86,4
0.5,0.1165,0.475,1.4,0.2,0.05,25.86,4
0.5,0.12,0.475,1.4,0.2,0.05,25.86,4
0.5,0.1235,0.475,1.4,0.2,0.05,25.86,4
0.5,0.127,0.475,1.4,0.2,0.05,25.86,4
0.5,0.1305,0.475,1.4,0.2,0.05,25.86,4
0.5,0.134,0.475,1.4,0.2,0.05,25.86,4
0.5,0.1375,0.475,1.4,0.2,0.05,25.86,4
0.5,0.141,0.475,1.4,0.2,0.05,25.86,4
0.5,0.1445,0.475,1.4,0.2,0.05,25.86,4
0.5,0.148,0.475,1.4,0.2,0.05,25.86,4
0.5,0.1515,0.475,1.4,0.2,0.05,25.86,4
0.5,0.155,0.475,1.4,0.2,0.05,25.86,4
0.5,0.1585,0.475,1.4,0.2,0.05,25.86,4
0.5,0.162,0.475,1.4,0.2,0.05,25.86,4
0.5,0.1655,0.475,1.4,0.2,0.05,25.86,4
0.5,0.169,0.475,1.4,0.2,0.05,25.86,4
0.5,0.1725,0.475,1.4,0.2,0.05,25.86,4
0.5,0.176,0.475,1.4,0.2,0.05,25.86,4
0.5,0.1795,0.475,1.4,0.2,0.05,25.86,4
0.5,0.183,0.475,1.4,0.2,0.05,25.86,4
