mean_supply,var_supply,r_s ,r_k,zeta_storage,eta,D_bar,tol_pi,Note
0.4,0.11,0.475,1.9,0.1,0.1,43.42,4,baseline low elas
0.4,0.15,0.475,1.9,0.1,0.1,43.42,4,double supply var low elas
0.4,0.2,0.475,1.9,0.1,0.1,43.42,4,triple supply var low elas
0.4,0.05,0.475,1.9,0.1,0.1,43.42,4,triple supply var low elas
0.4,0.11,0.2375,1.9,0.1,0.1,43.42,4,Half storage cap price low elas
0.4,0.11,0.95,1.9,0.1,0.1,43.42,4,Double storage cap price low elas
0.4,0.11,0.475,0.95,0.1,0.1,43.42,4,Half generation price low elas
0.4,0.11,0.475,3.8,0.1,0.1,43.42,4,Double generatio price low elas
0.4,0.11,0.475,1.9,0.5,0.1,43.42,4,High pipe size low elas
0.4,0.11,0.475,1.9,0.05,0.1,43.42,4,Low pipe size low elas
0.4,0.11,0.475,1.9,0.1,0.3,80,4,baseline medium elas
0.4,0.15,0.475,1.9,0.1,0.3,80,4,double supply var medium elas
0.4,0.2,0.475,1.9,0.1,0.3,80,4,triple supply var medium elas
0.4,0.05,0.475,1.9,0.1,0.3,80,4,Half supply var medium elas
0.4,0.11,0.2375,1.9,0.1,0.3,80,4,Half storage cap price medium elas
0.4,0.11,0.95,1.9,0.1,0.3,80,4,Double storage prrice medium elas
0.4,0.11,0.475,0.95,0.1,0.3,80,4,Half generation price medium elas
0.4,0.11,0.475,3.8,0.1,0.3,80,4,Double generatio price medium elas
0.4,0.11,0.475,1.9,0.5,0.3,80,4,High pipe size medium elas
0.4,0.11,0.475,1.9,0.05,0.3,80,4,Low pipe size medium elas
